Computer Name,Installed Applications - Windows,Last Logged in User,Current Size of RAM,IP Address,OS,CPU,Last Report Time
SYDW10R4GY1,AdmPwd - Local admin password management solution | 4.0.7.0,"jdalton Mon, 05 Mar 2018 08:15:48 +1100",<not reported>,10.16.202.223,Win7 6.1.7601,3400 MHz Core i7-3770,"Tue, 27 Mar 2018 20:18:21 +0000"
,Adobe Flash Player 21 ActiveX | 21.0.0.213,,,,,,
,Adobe Flash Player 27 PPAPI | 27.0.0.170,,,,,,
,Adobe Reader XI (11.0.03) | 11.0.03,,,,,,
,Adobe Shockwave Player 11.6 | 11.6.1.629,,,,,,
,Adobe Shockwave Player 12.0 | 12.0.3.133,,,,,,
,Altiris Deployment Agent | 1.0.0,,,,,,
,Bloomberg API,,,,,,
,Bloomberg Keyboard v11.9 | v11.9,,,,,,
,Bloomberg Office Tools (32-bit),,,,,,
,Bloomberg Professional Service,,,,,,
,Cisco WebEx Meeting Center | 31.11.2.7,,,,,,
,Cisco WebEx Meetings,,,,,,
,Citrix Online Launcher | 1.0.449,,,,,,
,Citrix Password Manager Plugin | 4.6.264.0,,,,,,
,Citrix online plug-in - web | 12.1.44.1,,,,,,
,CorpidFonts | 01.07.0002.0000,,,,,,
,CorpidFonts | 02.03.0009.0000,,,,,,
,Cortex FX,,,,,,
,Display Templates 12.81 for Reuters 3000 Xtra Suite 5 | 12.81.0000,,,,,,
,Eikon Messenger version 1.3.10 | 1.3.10,,,,,,
,FXall | 6.3.0.176,,,,,,
,Forefront Identity Manager Add-ins and Extensions | 4.1.2273.0,,,,,,
,Gadwin PrintScreenPro (64-Bit) | 5.0.3.0,,,,,,
,GoToMeeting 8.23.0.8557 | 8.23.0.8557,,,,,,
,Google Chrome | 65.0.3325.181,,,,,,
,HP ALM Client for 10.15.206.187 | 5.0.0.0,,,,,,
,HP ALM Explorer,,,,,,
,HP ALM Explorer 11 | 11.00.7485.0,,,,,,
,IBM BigFix Client | 9.5.5.196,,,,,,
,IBM Glossary Anywhere 11.5 | 11.5,,,,,,
,ImpactScriptFonts | 01.00.0000.0000,,,,,,
,Java 7 Update 67 | 7.0.670,,,,,,
,Java(TM) 6 Update 27 | 6.0.270,,,,,,
,McAfee Agent | 4.8.0.1995,,,,,,
,McAfee Agent | 4.8.3300,,,,,,
,McAfee Host Intrusion Prevention | 8.00.0402,,,,,,
,McAfee VirusScan Enterprise | 8.8.04001,,,,,,
,Microsoft .NET Framework 4 Client Profile | 4.0.30319,,,,,,
,Microsoft .NET Framework 4 Extended | 4.0.30319,,,,,,
,Microsoft Application Virtualization Desktop Client | 4.6.1.20870,,,,,,
,Microsoft Conferencing Add-in for Microsoft Office Outlook | 8.0.6362.252,,,,,,
,Microsoft Lync 2010 Group Chat | 4.0.7577.4409,,,,,,
,Microsoft Lync 2010 | 4.0.7577.4540,,,,,,
,Microsoft Office Live Meeting 2007 | 8.0.6362.281,,,,,,
,Microsoft Office Professional Plus 2010 | 14.0.6029.1000,,,,,,
,Microsoft Project Standard 2010 | 14.0.6029.1000,,,,,,
,Microsoft Silverlight | 5.1.50907.0,,,,,,
,Microsoft Visio Viewer 2010 | 14.0.4763.1000,,,,,,
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.50727.42,,,,,,
,Microsoft Visual C++ 2005 Redistributable (x64) | 8.0.61000,,,,,,
,Microsoft Visual C++ 2005 Redistributable | 8.0.61001,,,,,,
,Microsoft Visual C++ 2008 Redistributable - KB2467174 - x86 9.0.30729.5570 | 9.0.30729.5570,,,,,,
,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 | 9.0.30729.4148,,,,,,
,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 | 9.0.30729.4148,,,,,,
,Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219 | 10.0.40219,,,,,,
,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219 | 10.0.40219,,,,,,
,Mozilla Firefox 53.0.2 (x86 en-US) | 53.0.2,,,,,,
,Mozilla Maintenance Service | 53.0.2.6333,,,,,,
,NAB FindPrinter 1.0.3.0 | 1.0.3.0,,,,,,
,Password Safe 3.43.0 for Windows (64-bit) | 3.43.0,,,,,,
,Pulse Secure Application Manager | 8.1.1.33981,,,,,,
,Pulse Secure Setup Client 64-bit Activex Control | 2.1.1.1,,,,,,
,RET Orderwatch 3.4.1022 SP1 | 3.4.0.1022,,,,,,
,RSA DLP Endpoint Agent | 9.5.1100.10026,,,,,,
,RTEx for Reuters 3000 Xtra | 5.1.040,,,,,,
,Realtek High Definition Audio Driver | 6.0.1.5907,,,,,,
,Reuters 3000 Xtra Suite | 5.1.0703,,,,,,
,Reuters IOE Xtra | 3.3.1,,,,,,
,Reuters Indications Of Interest for 3000 Xtra 5.1 | 8.01.02,,,,,,
,Reuters Insertlink | 3.1.11110,,,,,,
,Reuters Multimedia News Object for 3000 Xtra | 3.0.16.207,,,,,,
,Rylstim Screen Recorder | 1.4,,,,,,
,Symantec Enterprise Vault Outlook Add-in 11.0.1.3683 | 11.0.7779,,,,,,
,Thomson Reuters Eikon | 4.0.37556,,,,,,
,Thomson Reuters Messenger | 8.4.0.147,,,,,,
,WebEx Support Manager for Internet Explorer | 6.2,,,,,,
,XviD Video Codec (remove only),,,,,,
,rwdsnewsfix | 1.0,,,,,,
,xagt | 21.33.7,,,,,,
